 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
     268      -100.8896        48.3195           8.40        76.8774        15.3607          5.293 2025-01-03T00:06:15
     269       102.1666        22.6877           0.55       203.1833         8.9673          4.970 2025-01-03T00:06:15
     270       131.4139        39.1693           3.75       252.8203        10.1822          5.476 2025-01-03T00:06:16
     271        -6.8653         0.4788           4.33       126.9453        13.3571          4.993 2025-01-03T00:06:16
     272       -99.5702        43.4646           3.24        46.5346        12.4373          5.285 2025-01-03T00:06:18
     273       -10.9311         8.5548          -2.95        85.0942         9.1748          5.287 2025-01-03T00:06:19
     274       -62.6107         7.3397           2.02        50.9614        10.9902          5.375 2025-01-03T00:06:19
     275        88.1051        13.4547           1.48       185.6295         9.0797          4.979 2025-01-03T00:06:19
     276        20.0502        21.9954           5.41       156.5233        12.5475          4.904 2025-01-03T00:06:20
     277        89.5716        14.3040           0.61       188.5928         9.1869          4.990 2025-01-03T00:06:20
     278       -96.3370        40.9229           7.30        64.7454        14.0621          4.796 2025-01-03T00:06:20
     279        98.5816        26.0858           2.76       207.3457         9.5721          5.510 2025-01-03T00:06:20
     280        63.6246        10.3520           0.65       162.3947         9.3594          4.950 2025-01-03T00:06:20
     281       -95.0770        39.0495           7.09        62.5984        13.8151          5.306 2025-01-03T00:06:21
     282        42.3434         3.6815           5.48       172.6416        12.8457          4.980 2025-01-03T00:06:21
     283       -55.1733        30.9593          -2.25        58.8810         9.8575          5.419 2025-01-03T00:06:21
     284       -38.2731        43.3506           3.68        62.2479         7.8846          2.619 2025-01-03T00:06:22
     285       -77.9552        11.2334           2.51        47.3075        11.9646          5.300 2025-01-03T00:06:24
     286       110.9177        32.5818           4.21       221.5135         9.4305          5.380 2025-01-03T00:06:24
     287        84.5694        37.7973           1.01       199.0950         9.5627          4.937 2025-01-03T00:06:24
     288       -88.4239        31.5608           6.45        58.4780        13.1121          4.764 2025-01-03T00:06:24
     289        49.5542         5.8945           0.26       149.0243         9.6523          4.988 2025-01-03T00:06:25
     290       273.7913       174.4918          17.80       494.8729        13.3836          5.434 2025-01-03T00:06:25
     291       131.3433       100.0033          12.33       316.1998        13.4855          4.370 2025-01-03T00:06:25
     292        42.4385         7.3370           0.32       137.3481         9.1241          5.072 2025-01-03T00:06:25
     293        37.7560         2.8653           1.07       137.2645         9.8076          5.474 2025-01-03T00:06:25
     294       -85.6495        28.9534           6.24        57.6019        12.8775          5.197 2025-01-03T00:06:26
     295       -44.6409        95.2805           3.83        43.0505         4.0051          1.503 2025-01-03T00:06:26
     296       178.6520        98.0546           6.39       327.5887         9.9909          5.317 2025-01-03T00:06:26
     297       333.6556       256.6526          28.82       588.3839        12.6402          4.879 2025-01-03T00:06:27
     298       284.3171       185.4800          16.55       519.7372        14.2680          5.458 2025-01-03T00:06:29
     299       -79.9916        23.9121           5.81        55.8910        12.3927          4.698 2025-01-03T00:06:29
     301       -84.7866        28.0588          -4.28        24.2230         9.4980          5.201 2025-01-03T00:06:30
     302        40.4148         5.7136           1.05       136.9450         9.3673          5.130 2025-01-03T00:06:30
     303       181.2426       182.4908          19.96       363.5465         9.1058          3.581 2025-01-03T00:06:30
     304       608.6970       703.8335          38.00      1107.2365        14.6623          5.153 2025-01-03T00:06:30
     305        37.1117         3.7440           1.45       133.5774         9.4594          5.268 2025-01-03T00:06:31
